NOTE,OCTAVE,DECIMAL-NTSC,HI-NTSC,LOW-NTSC,DECIMAL-PAL,HI-PAL,LOW-PAL
0,C-0,268,1,12,278,1,22
1,C#-0,284,1,28,294,1,38
2,D-0,301,1,45,312,1,56
3,D#-0,318,1,62,331,1,75
4,E-0,337,1,81,350,1,94
5,F-0,358,1,102,371,1,115
6,F#-0,379,1,123,393,1,137
7,G-0,401,1,145,417,1,161
8,G#-0,425,1,169,441,1,185
9,A-0,451,1,195,468,1,212
10,A#-0,477,1,221,496,1,240
11,B-0,506,1,250,525,2,13
16,C-1,536,2,24,556,2,44
17,C#-1,568,2,56,589,2,77
18,D-1,602,2,90,625,2,113
19,D#-1,637,2,125,662,2,150
20,E-1,675,2,163,701,2,189
21,F-1,716,2,204,743,2,231
22,F#-1,758,2,246,787,3,19
23,G-1,803,3,35,834,3,66
24,G#-1,851,3,83,883,3,115
25,A-1,902,3,134,936,3,168
26,A#-1,955,3,187,992,3,224
27,B-1,1012,3,244,1051,3,27
32,C-2,1072,4,48,1113,4,89
33,C#-2,1136,4,112,1179,4,155
34,D-2,1204,4,180,1250,4,226
35,D#-2,1275,4,251,1324,5,44
36,E-2,1351,5,71,1403,5,123
37,F-2,1432,5,152,1486,5,206
38,F#-2,1517,5,237,1575,6,39
39,G-2,1607,6,71,1668,6,132
40,G#-2,1703,6,167,1767,6,231
41,A-2,1804,7,12,1873,7,81
42,A#-2,1911,7,119,1984,7,192
43,B-2,2025,7,233,2102,8,54
48,C-3,2145,8,97,2227,8,179
49,C#-3,2273,8,225,2359,9,55
50,D-3,2408,9,104,2500,9,196
51,D#-3,2551,9,247,2649,10,89
52,E-3,2703,10,148,2806,10,246
53,F-3,2864,11,48,2973,11,157
54,F#-3,3034,11,218,3150,12,78
55,G-3,3215,12,143,3337,13,9
56,G#-3,3406,13,78,3535,13,207
57,A-3,3608,14,24,3746,14,162
58,A#-3,3823,14,239,3969,15,129
59,B-3,4050,15,210,4205,16,109
64,C-4,4291,16,195,4455,17,103
65,C#-4,4547,17,195,4719,18,111
66,D-4,4817,18,209,5000,19,136
67,D#-4,5103,19,239,5298,20,178
68,E-4,5407,21,31,5613,21,237
69,F-4,5728,22,96,5946,23,58
70,F#-4,6069,23,181,6300,24,156
71,G-4,6430,25,30,6675,26,19
72,G#-4,6812,26,156,7071,27,159
73,A-4,7217,28,49,7492,29,68
74,A#-4,7647,29,223,7938,31,2
75,B-4,8101,31,165,8410,32,218
80,C-5,8583,33,135,8910,34,206
81,C#-5,9094,35,134,9439,36,223
82,D-5,9634,37,162,10001,39,17
83,D#-5,10207,39,223,10596,41,100
84,E-5,10814,42,62,11226,43,218
85,F-5,11457,44,193,11893,46,117
86,F#-5,12139,47,107,12600,49,56
87,G-5,12860,50,60,13550,52,38
88,G#-5,13625,53,57,14143,55,63
89,A-5,14435,56,99,14985,58,137
90,A#-5,15294,59,190,15876,62,4
91,B-5,16203,63,75,16820,65,180
96,C-6,17167,67,15,17820,69,156
97,C#-6,18188,71,12,18879,73,191
98,D-6,19269,75,69,20002,78,34
99,D#-6,20415,79,191,21192,82,200
100,E-6,21629,84,125,22452,87,180
101,F-6,22915,89,131,23787,92,235
102,F#-6,24278,94,214,25201,98,113
103,G-6,25721,100,121,26700,104,76
104,G#-6,27251,106,115,28287,110,127
105,A-6,28871,112,199,29970,117,8
106,A#-6,30588,119,124,31752,124,8
107,B-6,32407,126,151,33640,131,104
112,C-7,34534,134,30,35640,139,56
113,C#-7,36576,142,24,37759,147,127
114,D-7,38539,150,139,40005,156,69
115,D#-7,40830,159,126,42384,165,144
116,E-7,43258,168,250,44904,175,104
117,F-7,45830,179,6,47574,185,214
118,F#-7,48556,189,172,50403,196,227
119,G-7,51443,200,243,53400,208,152
120,G#-7,54502,212,230,56575,220,255
121,A-7,57743,225,143,59940,234,36
122,A#-7,61176,238,248,63504,248,16
123,B-7,64814,253,46,,,
